,game_id,season,away_team,home_team,away_fouls,home_fouls,away_fouls_std_dev,home_fouls_std_dev
4989,20400524,4,POR,NOH,21,27,0.16837103320078078,1.3312251823917298
4990,20400666,4,UTA,CHA,36,34,2.1549814298808765,2.3328716014133897
4991,20400331,4,UTA,BOS,27,32,0.37603702803290456,1.854437171693654
4992,20400913,4,SEA,CHI,28,29,0.9219185882095844,1.3280766087237288
4993,20401076,4,PHX,MIN,26,20,1.1790794616314366,0.03177673550244781
4994,20400184,4,TOR,NYK,23,14,0.27873112976966713,-1.887059057241268
4995,20400384,4,NOH,CLE,21,24,-0.016434878794959844,0.5771260431353984
4996,20400908,4,DET,BOS,30,28,1.7397778626518567,0.9690581435779066
4997,20400893,4,SAC,MEM,22,14,0.11238335290896596,-2.037874269757335
4998,20400204,4,TOR,MIA,23,29,0.27873112976966713,0.9863246409458555
4999,20400108,4,IND,ATL,28,23,1.1958230233231488,0.29468775477003895
5000,20400712,4,MIN,MEM,24,24,0.9793012123027185,0.3324192071235369
5001,20400160,4,TOR,NYK,21,21,-0.22359749970533752,-0.044929977553363795
5002,20400159,4,NOH,GSW,32,33,2.454275233380638,2.518037204668507
5003,20401101,4,ORL,DAL,22,22,-0.354768591257429,-0.3177288896743316
5004,20400104,4,SAC,CHI,28,18,1.428874058413997,-1.253658522890071
5005,20400255,4,GSW,BOS,28,26,1.4007263238091046,0.5263686295200329
5006,20400781,4,PHX,DAL,19,18,-0.5926263262650148,-1.4147296877078122
5007,20400576,4,NYK,HOU,22,18,0.21823131954490824,-0.9778523006830937
5008,20401011,4,SAC,DAL,19,18,-0.5458619998435496,-1.4147296877078122
5009,20400867,4,WAS,CHA,26,18,0.3629749834107025,-0.9582332814407691
5010,20400593,4,DEN,DAL,18,23,-1.3144732085351816,-0.043478690165961516
5011,20401155,4,PHI,BOS,26,31,0.5387277521335805,1.6330924146647172
5012,20400229,4,MIA,CHI,23,18,-0.3691829661640908,-1.253658522890071
5013,20400619,4,MIN,ATL,12,20,-1.8632722180980936,-0.3703873614999577
5014,20400370,4,NJN,CLE,23,21,0.012889506159075137,-0.13990934379039976
5015,20400914,4,NJN,MIA,19,26,-0.8326620978762346,0.30857083739088237
5016,20400992,4,PHX,ATL,18,13,-0.845727153107365,-1.9222292994632832
5017,20400960,4,LAL,IND,20,19,-0.4926405218200434,-0.9410229602421878
5018,20400724,4,MIN,DEN,24,25,0.9793012123027185,0.24442683629786435
5019,20400704,4,PHI,NJN,23,24,-0.11411474552583209,0.22427740716790256
5020,20400595,4,PHI,MIA,28,26,0.9739560839065222,0.30857083739088237
5021,20400744,4,MIL,ATL,28,27,0.9119170775247827,1.1814545764633677
5022,20400991,4,NJN,IND,33,26,2.1267685162473495,0.7209683603086295
5023,20401050,4,SEA,MEM,28,23,0.9219185882095844,0.09538985943544971
5024,20400779,4,SEA,GSW,27,21,0.7040588641946394,-0.16350890939405863
5025,20400840,4,POR,DET,17,16,-0.8936616377579923,-1.5398033956803794
5026,20401102,4,UTA,POR,24,18,-0.21694443924975268,-0.6281534700182991
5027,20400714,4,UTA,DEN,25,27,-0.019283950155533587,0.6898268491073061
5028,20401046,4,WAS,POR,23,21,-0.28879031526836874,0.16837103320078078
