game_id,season,away_team,home_team,away_fouls,home_fouls
20000266,0,NYK,DAL,26,20
20000403,0,SEA,DAL,23,27
20000401,0,ORL,MIL,16,19
20001132,0,PHI,ORL,17,25
20000610,0,UTA,DEN,16,20
20000329,0,MIN,DET,21,27
20000427,0,ORL,BOS,21,23
20000725,0,MIL,ATL,22,19
20000580,0,WAS,ATL,22,16
20000454,0,DET,DAL,26,25
20000997,0,PHX,PHI,14,19
20000920,0,VAN,ATL,20,24
20000025,0,GSW,DEN,24,29
20000303,0,VAN,HOU,12,14
20000721,0,POR,MIN,21,17
20000399,0,CLE,CHH,31,30
20000572,0,SEA,MIN,28,19
20001104,0,NJN,IND,21,22
20000054,0,VAN,ATL,36,22
20000100,0,SAC,DAL,21,19
20000268,0,TOR,POR,22,24
20000131,0,SAS,MIN,30,21
20000854,0,WAS,UTA,30,18
20000631,0,DET,BOS,23,26
20000746,0,HOU,CLE,20,19
20000246,0,LAL,DAL,31,22
20000632,0,WAS,CLE,25,20
20000936,0,LAL,DET,28,30
20001014,0,PHX,LAL,25,28
20000803,0,DET,CLE,26,22
20000557,0,SAC,BOS,20,17
20000716,0,WAS,HOU,23,26
20000130,0,MIL,CLE,23,19
20001119,0,HOU,DEN,17,15
20000596,0,HOU,DEN,14,22
20000969,0,TOR,IND,29,27
20000739,0,LAL,CHH,30,24
20001009,0,NJN,MIN,22,20
20000110,0,SEA,NYK,27,20
20000955,0,PHI,MIL,17,15
20000428,0,MIA,DET,29,27
20000929,0,ORL,CLE,20,25
20000364,0,POR,DAL,19,23
20000542,0,SAC,DAL,20,20
20000659,0,POR,PHX,24,18
20000342,0,HOU,DEN,20,17
20000537,0,WAS,MIL,26,22
20000507,0,NYK,HOU,27,18
20001041,0,TOR,NJN,23,23
20000658,0,UTA,CHH,23,22
20000276,0,PHX,NJN,24,21
20000396,0,ORL,IND,31,21
20000681,0,PHX,CHH,21,21
20000404,0,SAS,HOU,25,17
20000892,0,DET,CHI,19,21
20000802,0,WAS,NJN,25,22
20001161,0,SAC,PHX,15,17
20001159,0,IND,CHI,17,23
20000833,0,SEA,CLE,28,24
20000508,0,ORL,NJN,22,28
20001142,0,IND,BOS,28,31
20001177,0,LAL,DEN,27,24
20001124,0,VAN,MIN,19,17
20000343,0,SAS,PHX,31,28
20000820,0,SAC,LAC,20,19
20000302,0,ORL,LAC,19,21
20000841,0,TOR,NJN,16,25
20000727,0,UTA,NYK,35,28
20001085,0,SEA,HOU,16,13
20000418,0,TOR,DEN,17,22
20000209,0,WAS,PHI,17,29
20000931,0,SAS,MIN,33,19
20000207,0,SEA,POR,18,20
20000491,0,SAC,MIN,21,15
20000800,0,POR,LAC,19,27
20000148,0,PHI,BOS,27,24
20000599,0,SEA,LAL,24,23
20000535,0,SAS,NYK,25,13
20001149,0,DET,ATL,36,28
20000086,0,NYK,CHH,22,21
20000683,0,PHI,DEN,23,14
20000253,0,CLE,CHH,19,17
20000874,0,SEA,SAS,14,23
20000027,0,VAN,LAC,20,23
20000079,0,NYK,BOS,21,24
20000012,0,POR,LAL,18,28
20000657,0,LAC,HOU,15,20
20000310,0,POR,GSW,25,17
20000158,0,GSW,CHI,21,15
20000897,0,SAC,DEN,29,17
20000192,0,POR,NJN,21,23
20000172,0,PHI,ATL,27,16
20000232,0,VAN,IND,23,19
20000759,0,LAC,DET,30,26
20000477,0,PHI,CLE,27,23
20000710,0,NJN,LAL,28,32
20000376,0,TOR,ATL,13,14
20000203,0,MIN,CHI,19,20
20000140,0,LAL,DEN,24,21
20000526,0,NJN,MIL,19,21
20000151,0,NJN,LAC,19,20
20000445,0,HOU,CLE,17,23
20000063,0,WAS,NJN,26,24
20001152,0,LAC,GSW,21,19
20000894,0,GSW,DAL,21,27
20000311,0,SEA,ORL,25,20
20000992,0,TOR,ATL,22,14
20000512,0,PHX,IND,25,27
20000115,0,MIL,ATL,23,23
20000875,0,MIL,BOS,27,25
20000278,0,LAC,CHH,22,24
20001019,0,TOR,MIA,21,25
20000932,0,IND,DEN,16,20
20000641,0,LAL,CLE,30,23
20000831,0,SAC,GSW,20,10
20001043,0,UTA,CLE,31,28
20000439,0,NJN,CHI,22,26
20000772,0,VAN,PHI,29,23
20000824,0,TOR,ATL,21,22
20000420,0,PHX,LAL,21,21
20000995,0,ORL,MIL,29,31
20000193,0,VAN,BOS,23,31
20001130,0,PHX,DAL,25,23
20001042,0,ORL,DET,17,29
20000773,0,PHX,MIA,14,19
20000538,0,ORL,CHI,26,22
20001025,0,NJN,DEN,16,11
20001049,0,DEN,ATL,15,16
20000355,0,IND,CHI,30,32
20000257,0,UTA,TOR,15,22
20000282,0,SAC,HOU,20,26
20000801,0,SAC,NYK,18,15
20000899,0,VAN,POR,22,23
20000734,0,SEA,BOS,25,20
20000814,0,UTA,ATL,23,24
20000656,0,MIA,DAL,20,20
20001133,0,NJN,CHH,22,24
20000114,0,IND,DET,28,26
20000944,0,CLE,CHH,23,20
20000252,0,MIA,ATL,25,19
20000256,0,HOU,DAL,28,25
20000073,0,SEA,CHH,20,25
20000425,0,UTA,GSW,20,23
20001108,0,SAS,GSW,22,23
20000615,0,VAN,HOU,16,20
20000210,0,UTA,ORL,23,28
20000735,0,VAN,GSW,21,24
20000522,0,SAS,PHI,19,15
20000109,0,SAC,ORL,23,15
20000549,0,TOR,HOU,23,24
20000527,0,PHX,DAL,20,20
20000356,0,SAS,HOU,18,19
20000053,0,SAC,POR,19,17
20000901,0,ORL,MIN,25,24
20000666,0,LAL,CHH,20,18
20000627,0,SAC,LAC,11,13
20000605,0,SEA,LAC,21,23
20001127,0,CLE,ATL,29,20
20000635,0,UTA,DEN,29,22
20000544,0,UTA,HOU,25,29
20000994,0,CHI,CHH,18,25
20000104,0,POR,ATL,27,21
20000849,0,SAS,ATL,24,20
